CIN_ID,STRD_CIN_NAME,BLOG_CAFE_CIN_KWD,TRD_KWD1,TRD_KWD2,TRD_KWD3,SUB_TITLE,ENGL_TITLE,CIN_OPEN_DT,DMST_SPCT_CNT,BTV_OPEN_DT,WAT_LVL_CD,SSTRY_CIN_YN,CTRY_CD_1,CTRY_CD_2,CTRY_CD_3,CTRY_CD_4,CTRY_CD_5,GNR_ID_1,GNR_ID_2,GNR_ID_3,GNR_ID_4,GNR_ID_5,GNR_ID_6,MANUFCO_NM_1,MANUFCO_NM_2,MANUFCO_NM_3,DSTBTCO_NM_1,DSTBTCO_NM_2,DSTBTCO_NM_3,PD_ID,PD_NM,PD_PRS_ROLE_NM,PD_PWR_1,PD_PWR_2,PD_PWR_3,PD_PWR_4,PD_PWR_5,PD_PWR_6,REP_ACT_ID_1,REP_ACT_NM_1,REP_ACT_PRS_ROLE_NM_1,REP_ACT_PWR_1_1,REP_ACT_PWR_1_2,REP_ACT_PWR_1_3,REP_ACT_PWR_1_4,REP_ACT_PWR_1_5,REP_ACT_PWR_1_6,REP_ACT_PWR_1_7,REP_ACT_PWR_1_8,REP_ACT_PWR_1_9,REP_ACT_PWR_1_10,REP_ACT_PWR_1_11,REP_ACT_PWR_1_12,REP_ACT_PWR_1_13,REP_ACT_PWR_1_14,REP_ACT_PWR_1_15,REP_ACT_PWR_1_16,REP_ACT_PWR_1_17,REP_ACT_PWR_1_18,REP_ACT_PWR_1_19,REP_ACT_PWR_1_20,REP_ACT_PWR_1_21,REP_ACT_ID_2,REP_ACT_NM_2,REP_ACT_PRS_ROLE_NM_2,REP_ACT_PWR_2_1,REP_ACT_PWR_2_2,REP_ACT_PWR_2_3,REP_ACT_PWR_2_4,REP_ACT_PWR_2_5,REP_ACT_PWR_2_6,REP_ACT_PWR_2_7,REP_ACT_PWR_2_8,REP_ACT_PWR_2_9,REP_ACT_PWR_2_10,REP_ACT_PWR_2_11,REP_ACT_PWR_2_12,REP_ACT_PWR_2_13,REP_ACT_PWR_2_14,REP_ACT_PWR_2_15,REP_ACT_PWR_2_16,REP_ACT_PWR_2_17,REP_ACT_PWR_2_18,REP_ACT_PWR_2_19,REP_ACT_PWR_2_20,REP_ACT_PWR_2_21,REP_ACT_ID_3,REP_ACT_NM_3,REP_ACT_PRS_ROLE_NM_3,REP_ACT_PWR_3_1,REP_ACT_PWR_3_2,REP_ACT_PWR_3_3,REP_ACT_PWR_3_4,REP_ACT_PWR_3_5,REP_ACT_PWR_3_6,REP_ACT_PWR_3_7,REP_ACT_PWR_3_8,REP_ACT_PWR_3_9,REP_ACT_PWR_3_10,REP_ACT_PWR_3_11,REP_ACT_PWR_3_12,REP_ACT_PWR_3_13,REP_ACT_PWR_3_14,REP_ACT_PWR_3_15,REP_ACT_PWR_3_16,REP_ACT_PWR_3_17,REP_ACT_PWR_3_18,REP_ACT_ID_4,REP_ACT_NM_4,REP_ACT_PRS_ROLE_NM_4,REP_ACT_PWR_4_1,REP_ACT_PWR_4_2,REP_ACT_PWR_4_3,REP_ACT_PWR_4_4,REP_ACT_PWR_4_5,REP_ACT_PWR_4_6,REP_ACT_PWR_4_7,REP_ACT_PWR_4_8,REP_ACT_PWR_4_9,REP_ACT_PWR_4_10,REP_ACT_PWR_4_11,REP_ACT_PWR_4_12,REP_ACT_PWR_4_13,REP_ACT_ID_5,REP_ACT_NM_5,REP_ACT_PRS_ROLE_NM_5,REP_ACT_PWR_5_1,REP_ACT_PWR_5_2,REP_ACT_PWR_5_3,REP_ACT_PWR_5_4,REP_ACT_PWR_5_5,REP_ACT_PWR_5_6,REP_ACT_PWR_5_7,REP_ACT_PWR_5_8,REP_ACT_PWR_5_9,REP_ACT_PWR_5_10,REP_ACT_PWR_5_11,REP_ACT_PWR_5_12,REP_ACT_PWR_5_13,REP_ACT_PWR_5_14,REP_ACT_ID_6,REP_ACT_NM_6,REP_ACT_PRS_ROLE_NM_6,REP_ACT_PWR_6_1,REP_ACT_PWR_6_2,REP_ACT_PWR_6_3,REP_ACT_PWR_6_4,REP_ACT_PWR_6_5,PRIZE_YN,PRIZE_CNT,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT,SNSS_CTS,CINE21_COMT_CTSC_1,CINE21_COMT_CTSC_2,CINE21_COMT_CTSC_3,CINE21_COMT_CTSC_4,CINE21_COMT_CTSC_5,CINE21_COMT_CTSC_6,CINE21_COMT_CTSC_7,CINE21_COMT_CTSC_8,CINE21_COMT_CTSC_9,CINE21_COMT_CTSC_10,CINE21_COMT_CTSC_11
MM1000117095,언니,영화 언니,언니,,,,No Mercy,20190101.0,1243.0,20190115.0,19세 관람가,N,대한민국,,,,,드라마,액션,,,,,필름에이픽쳐스 ,,,(주)제이앤씨미디어그룹 , TCO(주)더콘텐츠온 ,,MP0000045990,임경택,감독(연출),언니,,,,,,MP0000000562,이시영,주연,언니,,,,,,,,,,,,,,,,,,,,,MP0000089844,이준혁,주연,언니,신과 함께: 인과 연,신과 함께: 죄와 벌,,,,,,,,,,,,,,,,,,,MP0000154185,박세완,주연,언니,오목소녀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,7809.0,2680.0,7081.0,2.25,4.0,4.33,3.0,"남들처럼 평범하게 살고 싶었는데… 동생이 사라졌다.
내 동생 어디로 보냈어?
동생의 흔적에 가까워질수록 그녀의 분노는 폭발한다.
오늘, 여기서 끝장낸다!",투명한 혐오가 언니의 발목을 붙잡는다,,,,,,,,,,
MM1000118454,데드풀 2: 순한맛,데드풀 2,데드풀,데드풀2,,,ONCE UPON A DEADPOOL,20190103.0,,20190118.0,12세 관람가,N,미국,,,,,액션,코미디,어드벤처,SF,,,,,,이십세기폭스코리아(주),,,MP0000147075,데이빗 레이치,감독(연출),분노의 질주: 홉스&쇼,데드풀 2: 순한맛,데드풀 2,데드풀 2,아토믹 블론드,,MP0000001814,라이언 레이놀즈,주연,명탐정 피카츄,데드풀 2: 순한맛,더 보이스,데드풀 2,데드풀 2,킬러의 보디가드,라이프,,,,,,,,,,,,,,,MP0000013286,프레드 세비지,주연,데드풀 2: 순한맛,,,,,,,,,,,,,,,,,,,,,MP0000103139,스테판 카피식,외국어목소리,데드풀 2: 순한맛,데드풀 2,,,,,,,,,,,,,,,,,MP0000143019,조슈 브롤린,주연,어벤져스: 엔드게임,데드풀 2: 순한맛,시카리오: 데이 오브 솔다도,데드풀 2,데드풀 2,어벤져스: 인피니티 워,온리 더 브레이브,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,673.0,24.0,138820.0,3.69,,,,"그분이 다시 오신다. 
이번엔 순한맛으로!

데드풀이 프레드 세비지를 납치했다.
프레드 세비지는 1980~90년대 유명 드라마 '케빈은 열두살'에 주인공으로 출연한 아역 출신 배우, 그 프레드이다.
데드풀이 동화책을 읽어주는 이번 영화의 콘셉트 전체가 그가 어른 시절 출연한 영화 '프린세스 브라이드'의 내용을 그대로 패러디했다는 점에서 폭소를 자아낸다.",,,,,,,,,,,
MM1000115408,레인보우: 나의 사랑,레인보우 나의 사랑,영화 레인보우,레인보우 나의사랑,,,Una questione privata,20190103.0,252.0,20190110.0,12세 관람가,N,프랑스,이탈리아,,,,드라마,멜로/로맨스,,,,,,,,(주)마노엔터테인먼트,,,MP0000005457,파올로 타비아니,감독(연출),레인보우: 나의 사랑,,,,,,MP0000166422,루카 마리넬리,주연,레인보우: 나의 사랑,,,,,,,,,,,,,,,,,,,,,MP1000003573,발렌티나 벨레,주연,레인보우: 나의 사랑,,,,,,,,,,,,,,,,,,,,,MP1000003574,로렌조 리첼미,주연,레인보우: 나의 사랑,안개 속 소녀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,30.0,19.0,214.0,2.96,1.0,,5.0,"모든 사람이 꿈꾸어 왔던 소설
20세기 이탈리안들이 가슴에 품은 단 하나의 러브스토리
1943년 이탈리아 피에몬테, 영문학에 매료된 청년 밀톤은 사랑하는 여인 풀비아에게 '오버 더 레인보우' 레코드를 선물하고 언제나 편지를 쓴다. 
1년 뒤 풀비아가 떠난 후, 친구 조르조와 레지스탕스로 활동하는 밀톤은 조르조가 그녀와 남몰래 만나왔다는 사실을 알게 된다. 
사랑의 깊이만큼 밀톤의 감정이 휘몰아친다.",스크린 너머로는 전해지지 않는 사랑의 열병,,,,,,,,,,
MM1000128263,레토,영화 레토,,,,,Summer,20190103.0,2107.0,20190130.0,15세 관람가,N,프랑스,러시아,,,,드라마,멜로/로맨스,,,,,,,,(주)엣나인필름, 플레이리스트(주),,MP0000158720,키릴 세레브렌니코프,감독(연출),레토,,,,,,MP0000155993,유태오,주연,블랙 머니,버티고,레토,,,,,,,,,,,,,,,,,,,MP1000004353,로만 빌릭,주연,레토,,,,,,,,,,,,,,,,,,,,,MP1000004354,이리나 스타르셴바움,주연,아이스,레토,어트랙션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.0,96.0,9.0,7217.0,3.69,5.0,6.0,7.25,"우리가 사랑한 모든 것
1981, 레닌그라드 
자신만의 음악을 하고 싶은 자유로운 뮤지션 ‘빅토르 최’
금기의 록음악을 열망하는 열정적인 록스타 ‘마이크’ 
그리고 그의 매력적인 뮤즈 ‘나타샤’
음악이 있어 빛나고, 사랑이 있어 아름답고, 젊음이 있어 찬란한 그들의 끝나지 않을 여름이 시작된다.",사랑과 청춘과 시대의 명암이 반짝반짝,"억압만큼 거셌던, 지나간 시절의 음악과 사랑",이념이 발목 잡아도 청춘은 바통을 넘겨 쥐며 음악처럼 질주한다,현재의 청춘이 과거의 청춘을 향해 보내는 무한정 리스펙트. 애틋하고 귀엽다,,,,,,,
MM1000109497,미션 이스탄불 5: 더 파이널,미션 이스탄불 5,미션 이스탄불 더 파이널,미션 이스탄불5,,,Fegefeuer,20190103.0,,20190103.0,15세 관람가,N,독일,,,,,액션,범죄,,,,,,,,(주)시네마리퍼블릭,,,MP0000052678,크리스티앙 알바트,감독(연출),돈 겟 아웃!,미션 이스탄불 5: 더 파이널,미션 이스탄불 4: 익스트림 데이,미션 이스탄불 3: 더 리벤지,미션 이스탄불,,MP0000001592,틸 슈바이거,주연,미션 이스탄불 5: 더 파이널,미션 이스탄불 4: 익스트림 데이,미션 이스탄불 3: 더 리벤지,스페셜 스쿼드,아토믹 블론드,미션 이스탄불,,,,,,,,,,,,,,,,MP0000146403,루나 슈바이거,주연,미션 이스탄불 5: 더 파이널,미션 이스탄불 4: 익스트림 데이,미션 이스탄불,,,,,,,,,,,,,,,,,,,MP0000158516,파리 야르딤,주연,미션 이스탄불 5: 더 파이널,미션 이스탄불 4: 익스트림 데이,미션 이스탄불 3: 더 리벤지,미션 이스탄불,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,3.0,2.0,7.0,1.71,2.0,,4.5,"무장한 테러범들이 방송국을 급습하는 사건이 온 도시를 발칵 뒤집고 피랫의 석방을 요구하며 인질들의 목숨을 위협하기 시작한다.
한편, 이자벨라를 잃은 닉은 복수심에 불타올라 피랫을 잡지만 경찰 상부의 지시와 인질의 안전을 위해 피랫을 테러범들에게 넘겨주려 한다.
그러던 중, 레벤브룩 의원이 테러범과 내통하고 있다는 사실을 알게 되고 사건의 배후에 숨겨진 진실을 알아내기 위해 그의 뒤를 쫓기 시작하는데...",뭉그적뭉그적 미션,제철 지난 독일판 <테이큰>,,,,,,,,,
MM1000131615,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2,주먹왕 랄프 2 인터넷 속으로,주먹왕 랄프,,,Ralph Breaks the Internet,20190103.0,4516.0,20190201.0,전체 관람가,N,미국,,,,,애니메이션,코미디,어드벤처,가족,,,,,,월트 디즈니 컴퍼니 코리아 ,,,MP1000004336,필 존스턴,감독(연출),주먹왕 랄프 2: 인터넷 속으로,,,,,,MP0000001955,존 C. 라일리,외국어목소리,주먹왕 랄프 2: 인터넷 속으로,"나의 딸, 나의 누나",콩: 스컬 아일랜드,,,,,,,,,,,,,,,,,,,MP0000016649,사라 실버맨,외국어목소리,주먹왕 랄프 2: 인터넷 속으로,빌리 진 킹: 세기의 대결,,,,,,,,,,,,,,,,,,,,MP0000025863,제인 린치,외국어목소리,주먹왕 랄프 2: 인터넷 속으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.0,34540.0,1025.0,54616.0,3.62,4.0,7.33,8.0,"재미와 작품성 모두 역대급! 전세계 극장가를 뒤흔든 흥행왕의 귀환!
무한 재미로 가득한 인터넷을 하나의 거대한 세상으로 만난다!
오락실 게임 세상에 이어 이번엔 인터넷 세상이 발칵 뒤집힌다?!
각종 사고를 치며 게임 속 세상을 뒤집어 놨던 절친 주먹왕 랄프와 바넬로피는 버려질 위기에 처한 오락기 부품을 구하기 위해 와이파이를 타고 인터넷 세상에 접속한다.
얼떨결에 올린 동영상으로 순식간에 핵인싸에 등극한 랄프와 룰도 트랙도 없는 스릴만점 슬로터 레이스 게임에 참여하게 된 바넬로피.
지금껏 경험한 적 없는 엄청난 스케일과 새로운 재미에 흠뻑 빠진 랄프와 바넬로피는 랜섬웨어급 사고로 인터넷 세상을 혼란에 빠뜨리는데…
과연, 이들은 무사히 집에 돌아갈 수 있을까?","집 떠나라, 5G 시대가 열릴 것이다",,,,,,,,,,
MM1000115704,아이스브레이커,영화 아이스브레이커,아이스브레이커,아이스 브레이커,,,Icebreaker,20190104.0,,20190110.0,12세 관람가,N,러시아,,,,,드라마,액션,,,,,,,,,,,MP1000003585,니콜라이 콤메리키,감독(연출),아이스브레이커,,,,,,MP0000015923,안나 미할코바,주연,아이스브레이커,,,,,,,,,,,,,,,,,,,,,MP0000155248,피요트르 피오도로프,주연,아이스브레이커,모탈 어페어,,,,,,,,,,,,,,,,,,,,MP1000003586,알렉산드르 야트센코,주연,아이스브레이커,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,65.0,6.0,54.0,2.42,,,,"1985년, 러시아의 충격 실화. 쇄빙선 미하일 그로모프 호는 항해 도중 빙산과 충돌한다. 
쏟아지는 빙산 파편은 가까스로 피했으나 오히려 해빙에 사이에 갇히고 만다. 
선체가 망가지고 엔진이 고장나서 움직일 수도 없는 상황. 
70명의 쇄빙선 선원들이 남극 한 가운데에 고립되고 만다. 과연 그들은 살아남을 수 있을까?",,,,,,,,,,,
MM1000159247,그린 북,영화 그린북,그린 북,그린북,,,Green Book,20190109.0,223775.0,20190314.0,12세 관람가,N,미국,,,,,드라마,어드벤처,가족,,,,,,,CGV아트하우스,,,MP0000004901,피터 패럴리,감독(연출),그린 북,,,,,,MP0000002830,비고 모텐슨,주연,그린 북,,,,,,,,,,,,,,,,,,,,,MP0000025982,린다 카델리니,조연,요로나의 저주,그린 북,헌터킬러,파운더,,,,,,,,,,,,,,,,,,MP0000083194,마허샬라 알리,주연,알리타: 배틀 엔젤,그린 북,스파이더맨: 뉴 유니버스,프리 스테이트,히든 피겨스,문라이트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,9.0,15940.0,57.0,97481.0,4.17,8.0,8.67,7.2,"언제 어디서든 바른 생활! 완벽한 천재 뮤지션 ‘돈 셜리’
원칙보다 반칙! 다혈질 운전사 ‘토니’
취향도, 성격도 완벽히 다른 두 남자의 특별한 우정이 시작된다!
1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인 천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다.
백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는 위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고, 투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다.
거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사.
생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은 그들을 위한 여행안내서 ‘그린 북’에 의존해 특별한 남부 투어를 시작하는데...",<드라이빙 미스 데이지>의 재해석. 언제 봐도 먹히는 <별난 커플>식 구도,길 위에서 타인을 배우다,백인 시점의 “내가 첫 흑인 친구를 사귀기까지”,심각한 주제를 넉넉한 웃음으로,인종차별 없는 그린 사회를 지향하는 북,,,,,,
MM1000131477,내안의 그놈,내안의 그놈,내안의그놈,내 안의 그놈,내 안의 그 놈,,Inside me,20190109.0,15171.0,20190201.0,15세 관람가,N,대한민국,,,,,판타지,코미디,,,,,에코필름 , 전망좋은영화사 ,,TCO(주)더콘텐츠온 , (주)메리크리스마스 ,,MP0000078701,강효진,감독(연출),내안의 그놈,양아치 느와르,,,,,MP0000061171,라미란,주연,정직한 후보,걸캅스,내안의 그놈,점박이 한반도의 공룡 2: 새로운 낙원,완벽한 타인,특별시민,보통사람,,,,,,,,,,,,,,,MP0000065313,박성웅,주연,클로젯,그대 이름은 장미,내안의 그놈,안시성,공작,꾼,메소드,브이아이피,석조저택 살인사건,,,,,,,,,,,,,MP0000136358,진영,주연,내안의 그놈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,37537.0,1963.0,105535.0,3.34,6.0,6.25,4.0,"안방극장 배꼽은 그놈이 접수한다!!
나 너니? 너 나니??
제대로 바뀐 아재와 고딩, 웃음 대환장 파티!
엘리트 아재 판수(박성웅)를 우연히 옥상에서 떨어진 고등학생 동현(진영)이 덮치면서 제대로 바뀐다.
게다가 판수는 동현의 몸으로 첫사랑 미선(라미란)과 존재도 몰랐던 딸 현정(이수민)을 만나게 되는데...
대유잼의 향연, 넌 이미 웃고 있다!",밑도 끝도 없는 보디체인지 영화는 왜 자꾸 나오는 걸까?,팔짱 끼고 보다 그놈에게 허를 찔렸다,,,,,,,,,
MM1000136415,말모이,말모이,영화 말모이,,,,MAL·MO·E: The Secret Mission,20190109.0,2738121.0,20190212.0,12세 관람가,N,대한민국,,,,,드라마,가족,시대극(근현대),,,,더 램프 ,,,롯데엔터테인먼트 ,,,MP1000003908,엄유나,감독(연출),말모이,,,,,,MP0000000176,유해진,주연,봉오동 전투,말모이,완벽한 타인,레슬러,1987,택시운전사,공조,,,,,,,,,,,,,,,MP0000000182,윤계상,주연,롱 리브 더 킹: 목포 영웅,말모이,골든슬럼버,범죄도시,,,,,,,,,,,,,,,,,,MP0000144909,김홍파,조연,남산의 부장들,천문: 하늘에 묻는다,비스트,배심원들,내안의 그놈,말모이,마약왕,국가부도의 날,공작,보안관,임금님의 사건수첩,특별시민,원라인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,22587.0,239.0,60305.0,3.54,9.0,7.6,5.5,"까막눈 판수, 우리말에 눈뜨다! vs 조선어학회 대표 정환, ‘우리’의 소중함에 눈뜨다!
1940년대 우리말이 점점 사라져가고 있는 경성.
극장에서 해고된 후 아들 학비 때문에 가방을 훔치다 실패한 판수.
하필 면접 보러 간 조선어학회 대표가 가방 주인 정환이다.
사전 만드는데 전과자에다 까막눈이라니!
그러나 판수를 반기는 회원들에 밀려 정환은 읽고 쓰기를 떼는 조건으로 그를 받아들인다.
돈도 아닌 말을 대체 왜 모으나 싶었던 판수는 난생처음 글을 읽으며 우리말의 소중함에 눈뜨고, 정환 또한 전국의 말을 모으는 ‘말모이’에 힘을 보태는 판수를 통해 ‘우리’의 소중함에 눈뜬다.
얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 ‘말모이’를 끝내야 하는데...
우리말이 금지된 시대, 말과 마음이 모여 사전이 되다.",대중영화 이야기꾼으로서 엄유나 감독이 가진 재능에 주목,말을 모으기 이전 배우의 케미가 ‘모이’지를 않는다,울리려고 마구 꼬집어서 울긴 울었다,의로운 사람들이 기억되도록,,,,,,,
MM1000131455,극장판 공룡메카드: 타이니소어의 섬,극장판 공룡메카드 타이니소어의 섬,공룡메카드 타이니소어의 섬,영화 공룡메카드,극장판 공룡메카드,,,20190110.0,142.0,20190131.0,전체 관람가,N,대한민국,,,,,SF,어드벤처,액션,,,,(주)초이락컨텐츠팩토리,,,(주)넥스트엔터테인먼트월드(NEW),,,MP1000000660,최신규,감독(연출),극장판 헬로카봇 : 달나라를 구해줘!,극장판 헬로카봇: 옴파로스 섬의 비밀,극장판 공룡메카드: 타이니소어의 섬,극장판 헬로카봇 : 백악기 시대,,,MP0000030417,김서영,우리말목소리,핑크퐁 시네마 콘서트 우주대탐험,뽀로로 극장판 보물섬 대모험,구스 베이비,극장판 공룡메카드: 타이니소어의 섬,런닝맨 : 풀룰루의 역습,마야2,프리파라 모두의 동경,뽀로로 공룡섬 대모험,꼬마참새 리차드: 아프리카 원정대,미녀와 야수,미녀와 야수,,,,,,,,,,,MP0000054306,엄상현,우리말목소리,극장판 미니특공대: 공룡왕 디노,눈의 여왕4,극장판 헬로카봇 : 달나라를 구해줘!,극장판 샤이닝스타:새로운 루나퀸의 탄생!,별의 정원,극장판 헬로카봇: 옴파로스 섬의 비밀,극장판 공룡메카드: 타이니소어의 섬,런닝맨 : 풀룰루의 역습,극장판 뽀잉 : 슈퍼 변신의 비밀,극장판 헬로카봇 : 백악기 시대,[극장판] 해적왕 작스톰,미니특공대X,패딩턴 2,포켓몬스터 너로 정했다!,뽀로로 공룡섬 대모험,킹 오브 프리즘: 프라이드 더 히어로,바다 탐험대 옥토넛 시즌4 :더 파이널,파워배틀 와치카: 와치가면의 역습,트롤 1,터닝메카드W: 블랙미러의 부활,눈의 여왕 3: 눈과 불의 마법대결,MP0000160733,안현서,우리말목소리,키코리키: 시간여행,극장판 공룡메카드: 타이니소어의 섬,스페이스 치킨: 마법 부적의 비밀,꼬마영웅 바비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,,,121.0,3.38,,,,"타이니소어로 가득한 환상의 섬에서 펼쳐지는 뜨거운 우정 이야기가 시작된다!
머나먼 옛날, 소행성 충돌로 인해 지구의 공룡들이 모두 사라지고
사람들에게 알려지지 않은 어느 작은 섬에서 공룡들은 아주 작은 모습의 타이니소어로 탄생한다. 
씩씩한 트리케라, 장난꾸러기 티라노, 잠꾸러기 스테고 등 타이니소어 친구들이 도토리 축구를 하며 즐거운 나날을 보내고 있던 중,
수상한 악당들이 나타나 평화로운 ‘타이니소어의 섬’을 위협하기 시작하는데… 
타이니소어들을 노리는 수상한 눈빛의 정체는? 
과연 이들은 위기에 처한 지상 낙원 ‘타이니소어의 섬’을 지켜낼 수 있을까?",,,,,,,,,,,
MM1000103011,돈 겟 아웃!,돈겟아웃,돈 겟 아웃,돈 겟 아웃!,,,Don't Get Out!,20190110.0,,20181227.0,15세 관람가,N,독일,,,,,드라마,스릴러,,,,,,,,,,,MP0000052678,크리스티앙 알바트,감독(연출),돈 겟 아웃!,미션 이스탄불 5: 더 파이널,미션 이스탄불 4: 익스트림 데이,미션 이스탄불 3: 더 리벤지,미션 이스탄불,,MP0000064883,보탄 빌케 모링,주연,돈 겟 아웃!,,,,,,,,,,,,,,,,,,,,,MP0000154188,노라 허츠,주연,돈 겟 아웃!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,70.0,4.0,93.0,2.74,,,,"폭탄이 설치된 차량, 가족을 구해야 한다.
결혼기념일을 맞이하여 집에 돌아온 칼은 아이들을 학교에 데려다주려 차에 탄 순간 낯선 이의 전화를 받는다.
차 안에 폭탄이 설치되었으니 아무도 차에서 내리지 말고 요구하는 돈을 준비할 것.
칼과 아이들은 차에서 내리지 못하고 아슬아슬한 도심 속 질주를 계속하게 되는데...",,,,,,,,,,,
MM1000115034,디스 크레이지 하트,다스 크레이지 하트,다스크레이지하트,,,,This Crazy Heart,20190110.0,,20190110.0,12세 관람가,N,독일,,,,,드라마,코미디,,,,,,,,예지림엔터테인먼트,,,MP0000112474,마크 로테문트,감독(연출),디스 크레이지 하트,,,,,,MP0000146343,엘리아스 므바렉,주연,디스 크레이지 하트,,,,,,,,,,,,,,,,,,,,,MP1000003562,필립 슈바르츠,주연,디스 크레이지 하트,,,,,,,,,,,,,,,,,,,,,MP1000003563,우베 프레우스,주연,디스 크레이지 하트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.0,13.0,1.0,67.0,3.52,,,,불치병 소년과 바람둥이 청년의 우정을 그린 영화,,,,,,,,,,,
MM1000123495,리지,영화 리지,리지,,,,LIzzie,20190110.0,85.0,20190123.0,19세 관람가,N,미국,,,,,드라마,스릴러,범죄,미스터리,,,,,,(주)팝엔터테인먼트,,,MP1000004098,크레이그 맥닐,감독(연출),리지,,,,,,MP0000001267,크리스틴 스튜어트,주연,언더워터,리지,퍼스널 쇼퍼,,,,,,,,,,,,,,,,,,,MP0000003806,제이미 쉐리던,조연,리지,,,,,,,,,,,,,,,,,,,,,MP0000004108,클로에 세비니,주연,우아한 만찬,데드 돈 다이,리지,린 온 피트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,46.0,8.0,3385.0,3.15,4.0,7.67,6.0,"아무도 널 구해줄 수 없어

메사추세츠의 대부호 보든 가의 상속녀 리지(클로에 세비니) 
호시탐탐 아버지의 유산을 노리는 새엄마와 삼촌이 두렵다 
그러던 어느 날 새로 온 하녀 브리짓(크리스틴 스튜어트)이 리지에게 말을 건네고 둘은 은밀한 만남을 이어가기 시작한다 
  
당신을 위해 무엇이든 할게요",악명 높은 인물의 매혹적인 현신,,,,,,,,,,
MM1000125732,빌리어네어 보이즈클럽,빌리어네어 보이즈클럽,빌리어네어보이즈클럽,,,,Billionaire Boys Club,20190110.0,,20190128.0,15세 관람가,N,미국,,,,,드라마,범죄,,,,,,,,씨네그루(주)키다리이엔티 ,,,MP0000038351,제임스 콕스,감독(연출),빌리어네어 보이즈클럽,,,,,,MP0000002366,엠마 로버츠,주연,헌트,파라다이스 힐스,어글리 돌,빌리어네어 보이즈클럽,리틀 이태리,너브,,,,,,,,,,,,,,,,MP0000145763,안셀 엘고트,주연,빌리어네어 보이즈클럽,베이비 드라이버,,,,,,,,,,,,,,,,,,,,MP0000147794,태런 에저튼,주연,로켓맨,빌리어네어 보이즈클럽,후드,킹스맨: 골든 서클,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0,1107.0,437.0,1978.0,2.36,1.0,,4.0,"부자가 되고 싶다면, 당신의 돈을 맡겨라
비버리힐즈를 매혹시킨 두 청년이 온다!
훈훈한 외모, 명석한 두뇌, 뛰어난 입담, 화려한 인맥까지...! 
마성의 매력으로 비버리힐즈 억만장자들을 매혹시킨 두 청년 
'조'(안셀 엘고트)와 '딘'(태런 에저튼)의 범죄 실화.
",관객을 설득하는 데는 재능 없는 사기꾼들,,,,,,,,,,
